frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
154,1,[2046.7162998593171 1285.601046377686 2661.0939666122667 1804.4343561577678],[2266.928466796875 1600.6876220703125 2492.677734375 1699.7806396484375],0.406603724,AP05JEO,0.275079994
155,1,[2050.602287770455 1290.3201169286724 2667.651494971607 1809.6950628211634],[2265.9501953125 1608.6295166015625 2479.242919921875 1695.9898681640625],0.438791513,AP05JEO,0.566256672
156,1,[2055.4441116887515 1300.9547753628508 2671.3436370184545 1820.0361828156474],[2276.91796875 1613.786865234375 2496.658203125 1701.472412109375],0.433856845,AP05JEO,0.430444629
157,1,[2048.519921490823 1302.427015312609 2666.9404462603597 1823.2759891910764],[2266.89208984375 1618.477294921875 2495.379150390625 1699.880126953125],0.496266663,AP05JEO,0.397378394
158,8,[1031.3056898026853 1184.2891792826974 1573.0163784552087 1654.6612634200612],[1217.8382568359375 1465.8380126953125 1386.60546875 1553.6905517578125],0.44301194,KH05ZZK,0.586385878
158,1,[2048.8546363127143 1306.6265211413038 2667.80031166715 1827.68633785969],[2284.7880859375 1632.297119140625 2501.59814453125 1706.6529541015625],0.323947459,AP05JEO,0.172354562
159,8,[1032.1614290079335 1189.510443140412 1573.556236788071 1660.4263436651122],[1207.2415771484375 1471.9105224609375 1386.854736328125 1558.2762451171875],0.361087859,KH05ZZK,0.492224449
159,1,[2047.1620714347896 1310.500184067464 2670.033670020048 1834.6459545604646],[2284.5 1639.0408935546875 2476.00146484375 1709.441650390625],0.323459059,AP05JEO,0.445583789
160,8,[1031.4346194644704 1193.140755783183 1573.213435020059 1665.0137834464888],[1205.27490234375 1471.001708984375 1383.6763916015625 1558.9520263671875],0.424479634,KH05ZIK,0.134949467
161,1,[2053.4864038191345 1319.3803444663617 2675.2392661544914 1845.0565715350795],[2280.90185546875 1637.20166015625 2523.09912109375 1722.9345703125],0.302914768,AP05JEO,0.433953898
161,8,[1031.1613326684019 1200.3070351259105 1569.7572457475876 1669.2376697061409],[1204.7418212890625 1478.3851318359375 1381.0196533203125 1564.3326416015625],0.450086981,KH05ZTV,0.225800929
162,8,[1027.587216752722 1200.49726729684 1570.4850120921387 1673.4140817915086],[1201.9033203125 1482.2347412109375 1381.4056396484375 1568.3038330078125],0.438611597,KH05ZTK,0.519314948
162,1,[2049.0555732201396 1323.5984755180089 2677.4357306487045 1854.8721651509236],[2275.729736328125 1651.5091552734375 2456.111572265625 1732.8585205078125],0.274127781,AP05JEO,0.261136441
163,8,[1026.3487312277543 1206.2839954280312 1566.6545141682766 1675.747591255345],[1206.004638671875 1484.2178955078125 1382.173828125 1575.265625],0.502700746,KH05ZTK,0.855418001
163,1,[2052.40456986884 1327.8620077172427 2681.4174661370234 1860.2269607597104],[2269.33837890625 1650.484130859375 2487.99853515625 1741.46044921875],0.362527698,AP05JEO,0.410663344
164,1,[2055.7339363217134 1331.1390407976378 2688.063443832353 1867.946196701064],[2278.4248046875 1660.6959228515625 2492.3974609375 1752.1904296875],0.531510711,AP05JEO,0.15937969
164,8,[1024.2972005756387 1210.3419550926494 1567.50640651076 1681.9628124342698],[1205.71875 1492.7490234375 1380.9737548828125 1577.30419921875],0.514541268,KH05ZZK,0.145928707
165,1,[2059.3800886559816 1335.0978272029793 2695.361677253374 1877.8656596714804],[2275.887939453125 1667.8587646484375 2517.158203125 1751.541259765625],0.541692197,AP05JEO,0.232962789
165,8,[1021.7642009285481 1219.4303363808492 1565.8521637005238 1691.0268613420556],[1210.7581787109375 1501.2744140625 1379.2979736328125 1582.297119140625],0.494811565,KH05ZZK,0.320695765
166,1,[2058.8851675143574 1341.6905057808608 2691.623895841755 1883.2814534821991],[2283.11572265625 1678.8665771484375 2468.642578125 1753.3304443359375],0.343182027,AP05JEO,0.292851373
167,1,[2057.7049123940983 1348.565377174021 2689.8406802756226 1890.003702417302],[2300.96044921875 1678.34326171875 2522.523193359375 1760.8974609375],0.334723264,AP05JEO,0.444572528
170,1,[2076.3568987768545 1361.4320833403267 2700.9132354601857 1900.2953373947146],[2285.06201171875 1699.09619140625 2504.099365234375 1786.3712158203125],0.512791216,AP05JEO,0.225615154
170,8,[1010.624025907606 1242.8551764174924 1560.9857638612052 1718.108527068085],[1194.6668701171875 1516.4476318359375 1371.066650390625 1607.4254150390625],0.469727188,AN05ZZR,0.402494363
172,1,[2074.0836125914084 1373.9717870346076 2700.88685100871 1915.3007995123357],[2294.878662109375 1706.64990234375 2533.876708984375 1801.8134765625],0.568978488,AP05JEO,0.379572935
173,8,[1008.6620608607548 1257.4847523936373 1555.5759527424732 1726.745876767131],[1188.489990234375 1532.258544921875 1366.80615234375 1622.2032470703125],0.559019923,KN05ZZK,0.479341986
173,1,[2077.2975305380896 1378.5614670128734 2707.5840699708315 1923.7287265977818],[2300.154296875 1718.08935546875 2529.587646484375 1808.0933837890625],0.500741124,AP05JEO,0.114413505
174,1,[2082.442828485676 1385.987503478768 2711.396461928981 1930.854044668297],[2296.24462890625 1729.083251953125 2536.393798828125 1810.6204833984375],0.452280134,AF05JED,0.200175052
175,1,[2081.947641963057 1393.351772392061 2710.0678119753197 1937.500456837617],[2311.270751953125 1726.1099853515625 2532.715576171875 1818.4156494140625],0.370058298,AP05JEO,0.399037529
176,8,[1004.7990064109488 1274.8526107789576 1554.9235178288427 1744.5060041799852],[1185.1912841796875 1549.4481201171875 1368.638427734375 1636.7257080078125],0.577421427,KN05ZZK,0.315896129
176,1,[2076.8315937042835 1399.4528705736707 2707.5748268632487 1945.1658421178627],[2283.256591796875 1735.109619140625 2491.30029296875 1818.1248779296875],0.555862069,AP05JEO,0.225245781
177,8,[1001.171540312718 1277.8846655598952 1553.6425702845006 1749.2528674929592],[1180.39013671875 1559.782470703125 1363.2066650390625 1650.50537109375],0.549047709,KH05ZZK,0.313854683
177,1,[2083.915401514389 1406.7081522679332 2716.1987943343825 1954.1876053228473],[2292.132080078125 1742.42919921875 2517.307861328125 1839.4168701171875],0.520209551,AP05JEO,0.480617471
178,8,[998.7598278442796 1279.2909888864406 1555.0003661865271 1754.1616358660938],[1178.864501953125 1559.5374755859375 1364.5233154296875 1651.5208740234375],0.582293093,KH05ZIK,0.517939683
178,1,[2086.5645712036157 1410.9269466373312 2722.6266160781 1961.3924274117824],[2289.824462890625 1746.9415283203125 2511.746337890625 1838.5469970703125],0.359266847,AP05JEO,0.318409032
179,8,[992.3543041716205 1280.2785302478499 1554.777291491747 1760.9240478718277],[1171.6898193359375 1569.8016357421875 1346.951416015625 1657.9053955078125],0.542534411,KH05ZZK,0.124519934
179,1,[2088.666007446689 1415.1140014777338 2729.378637873093 1968.9505412889766],[2290.2841796875 1754.1339111328125 2553.85400390625 1847.6019287109375],0.396089882,AP05JEO,0.29675893
180,8,[982.2568436920702 1281.5210114143615 1553.5972762959896 1771.3421720775275],[1173.441650390625 1569.8411865234375 1351.8021240234375 1659.984375],0.514309883,RH05ZZK,0.646842013
180,1,[2089.3198991397207 1419.778667908799 2734.716888158415 1978.1229241334727],[2299.42236328125 1763.1602783203125 2537.61328125 1854.1893310546875],0.318662465,AP05JED,0.427930668
181,1,[2090.9384939889474 1424.6188074788165 2739.3780980618394 1986.507774801284],[2320.9482421875 1775.97802734375 2549.019287109375 1863.17431640625],0.519166946,AP05JED,0.192585323
182,8,[980.6720871982086 1294.5196832879274 1549.6457116605143 1783.9340065929823],[1166.9656982421875 1583.3232421875 1350.8668212890625 1674.689208984375],0.623730779,RH05ZZK,0.349234689
182,1,[2091.6313513144214 1427.2550368176837 2744.0480557140545 1991.873070927068],[2337.7705078125 1778.3807373046875 2570.6962890625 1863.4581298828125],0.295690298,AP05JED,0.463703312
183,8,[977.4814291879965 1301.3511720658514 1545.0775127069282 1790.4338271588106],[1165.4857177734375 1595.1309814453125 1349.2379150390625 1682.0716552734375],0.627962351,KH05ZZK,0.895912104
183,1,[2091.8159789951287 1433.0352470081532 2746.683735046843 1997.0165810298784],[2298.549560546875 1783.40185546875 2527.504638671875 1868.53271484375],0.51513648,AP05JEO,0.352105409
184,8,[973.1538680731813 1304.472123269798 1542.36427941094 1796.2285409088056],[1173.2666015625 1595.3682861328125 1352.1298828125 1685.9234619140625],0.624263883,RH05ZZK,0.610912081
